          model_label            model_path  dataset   strategy  candidate_budget  max_queries  ndcg@10     seconds  seconds_per_query  num_forward          mode                                                                                                output_path  largest_budget_ndcg@10  largest_budget_seconds_per_query  delta_vs_largest_budget  speedup_vs_largest_budget  table2_listt5_base_top100  delta_vs_table2_top100
listt5_finetuned_base Soyoung97/ListT5-base nfcorpus sequential                40           50  0.33718  877.696021          17.553920         2267 new_inference  /kaggle/working/outputs/candidate_budget_sanity/listt5_finetuned_base/topk40/maxq50/nfcorpus_output.jsonl                 0.34274                         24.876291                 -0.00556                   1.417136                      0.356                -0.01882
listt5_finetuned_base Soyoung97/ListT5-base nfcorpus sequential                60           50  0.34292  824.361745          16.487235         2011 new_inference  /kaggle/working/outputs/candidate_budget_sanity/listt5_finetuned_base/topk60/maxq50/nfcorpus_output.jsonl                 0.34274                         24.876291                  0.00018                   1.508821                      0.356                -0.01308
listt5_finetuned_base Soyoung97/ListT5-base nfcorpus sequential                80           50  0.34212 1130.674727          22.613495         2780 new_inference  /kaggle/working/outputs/candidate_budget_sanity/listt5_finetuned_base/topk80/maxq50/nfcorpus_output.jsonl                 0.34274                         24.876291                 -0.00062                   1.100064                      0.356                -0.01388
listt5_finetuned_base Soyoung97/ListT5-base nfcorpus sequential               100           50  0.34274 1243.814555          24.876291         2969 new_inference /kaggle/working/outputs/candidate_budget_sanity/listt5_finetuned_base/topk100/maxq50/nfcorpus_output.jsonl                 0.34274                         24.876291                  0.00000                   1.000000                      0.356                -0.01326
listt5_finetuned_base Soyoung97/ListT5-base  scifact sequential                40           50  0.72975 1173.769099          23.475382         2955 new_inference   /kaggle/working/outputs/candidate_budget_sanity/listt5_finetuned_base/topk40/maxq50/scifact_output.jsonl                 0.72683                         33.645075                  0.00292                   1.433207                      0.741                -0.01125
listt5_finetuned_base Soyoung97/ListT5-base  scifact sequential                60           50  0.72829 1102.231838          22.044637         2616 new_inference   /kaggle/working/outputs/candidate_budget_sanity/listt5_finetuned_base/topk60/maxq50/scifact_output.jsonl                 0.72683                         33.645075                  0.00146                   1.526225                      0.741                -0.01271
listt5_finetuned_base Soyoung97/ListT5-base  scifact sequential                80           50  0.73023 1526.166654          30.523333         3646 new_inference   /kaggle/working/outputs/candidate_budget_sanity/listt5_finetuned_base/topk80/maxq50/scifact_output.jsonl                 0.72683                         33.645075                  0.00340                   1.102274                      0.741                -0.01077
listt5_finetuned_base Soyoung97/ListT5-base  scifact sequential               100           50  0.72683 1682.253748          33.645075         3936 new_inference  /kaggle/working/outputs/candidate_budget_sanity/listt5_finetuned_base/topk100/maxq50/scifact_output.jsonl                 0.72683                         33.645075                  0.00000                   1.000000                      0.741                -0.01417
